"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2022","52.70","53.30","53.30","52.00","103.32K","-0.75%"
"08/29/2022","53.10","54.00","54.00","52.10","31.07K","-0.75%"
"08/26/2022","53.50","50.50","54.50","50.00","89.32K","7.00%"
"08/25/2022","50.00","52.70","52.70","50.00","105.41K","-4.58%"
"08/24/2022","52.40","52.00","52.50","50.60","117.12K","0.96%"
"08/23/2022","51.90","50.00","52.00","49.70","25.04K","3.80%"
"08/22/2022","50.00","52.90","52.90","49.90","30.11K","-2.91%"
"08/19/2022","51.50","50.10","52.90","50.10","13.49K","3.00%"
"08/18/2022","50.00","50.60","52.50","49.50","38.91K","-1.96%"
"08/17/2022","51.00","53.00","53.00","50.10","142.76K","-1.92%"
"08/16/2022","52.00","52.10","53.00","50.20","41.55K","-1.14%"
"08/15/2022","52.60","53.00","53.00","52.40","210.23K","-0.75%"
"08/12/2022","53.00","53.90","53.90","52.50","684.59K","0.00%"
"08/10/2022","53.00","53.00","53.20","51.00","127.40K","-0.93%"
"08/09/2022","53.50","51.50","54.00","51.00","91.94K","4.90%"
"08/08/2022","51.00","50.00","51.10","48.10","33.03K","2.82%"
"08/05/2022","49.60","48.60","49.60","48.00","90.03K","0.40%"
"08/04/2022","49.40","47.00","49.40","46.50","39.05K","6.47%"
"08/03/2022","46.40","46.80","46.90","45.00","56.35K","-0.22%"
"08/02/2022","46.50","45.90","46.50","45.00","21.46K","5.68%"
"08/01/2022","44.00","45.00","46.30","44.00","13.67K","-5.38%"
"07/29/2022","46.50","44.80","46.70","44.80","17.63K","2.65%"
"07/28/2022","45.30","44.00","45.30","44.00","31.97K","1.80%"
"07/27/2022","44.50","45.00","45.00","44.10","12.43K","-0.67%"
"07/26/2022","44.80","45.40","45.40","44.80","1.26K","-1.75%"
"07/25/2022","45.60","45.90","45.90","44.50","4.91K","2.24%"
"07/22/2022","44.60","45.00","45.30","44.50","39.44K","-0.89%"
"07/21/2022","45.00","45.20","45.20","44.50","21.87K","2.74%"
"07/20/2022","43.80","45.20","45.20","43.80","9.69K","-2.45%"
"07/19/2022","44.90","43.50","44.90","43.40","25.19K","3.46%"
"07/18/2022","43.40","43.20","43.90","43.20","3.58K","1.88%"
